Grade Level Range,Math Topic,Specific Objective,Written Story,Video,Lesson Plan,BWE Topic
,Addition,Simple addition word problems,"=HYPERLINK(""https://drive.google.com/open?id=0B9q-Bz2y-5byMzduanhoQzMwUUk"",""I Am Touhid"")","=HYPERLINK(""https://vimeo.com/143534387"",""I am Touhid"")",Coming soon,Education
2nd-4th,Addition & subtraction,Strategies for adding two and three digit numbers,"=HYPERLINK(""https://drive.google.com/file/d/0B-03BDwcfBF1d2tBMVh5dnJiX28/view"",""Reginah Collects Water"")","=HYPERLINK(""https://vimeo.com/197634191"",""I am Reginah"")","=HYPERLINK(""https://drive.google.com/file/d/0B-03BDwcfBF1MXp1TEdmYUNpV2s/view?usp=sharing"",""Water Walks"")",Water
2nd-4th,Addition & subtraction,Adding with regrouping within 1000,"=HYPERLINK(""https://drive.google.com/file/d/0B-03BDwcfBF1VDNEVW5MWUsxenc/view"",""Mario's Routine"")","=HYPERLINK(""https://vimeo.com/betterworlded/mario"",""I am Mario"")","=HYPERLINK(""https://drive.google.com/file/d/0B-03BDwcfBF1anNoR2NYbG5zVXM/view?usp=sharing"",""Our Day-to-Day"")","Humanity, Stuff"
2nd-4th,Addition & subtraction,Using regrouping to subtract within 1000,"=HYPERLINK(""https://drive.google.com/file/d/0B-03BDwcfBF1VDNEVW5MWUsxenc/view"",""Mario's Routine"")","=HYPERLINK(""https://vimeo.com/betterworlded/mario"",""I am Mario"")","=HYPERLINK(""https://drive.google.com/file/d/0B-03BDwcfBF1anNoR2NYbG5zVXM/view?usp=sharing"",""Our Day-to-Day"")","Humanity, Stuff"
2nd-4th,Addition & subtraction,Addition and subtraction missing value problems,"=HYPERLINK(""https://drive.google.com/file/d/0B-03BDwcfBF1VDNEVW5MWUsxenc/view"",""Mario's Routine"")","=HYPERLINK(""https://vimeo.com/betterworlded/mario"",""I am Mario"")","=HYPERLINK(""https://drive.google.com/file/d/0B-03BDwcfBF1anNoR2NYbG5zVXM/view?usp=sharing"",""Our Day-to-Day"")","Humanity, Stuff"
2nd-4th,Addition & subtraction,Using regrouping to subtract within 1000,"=HYPERLINK(""https://drive.google.com/file/d/0B-03BDwcfBF1b1FMWHRpNEpTbFk/view?usp=sharing"",""James as a Safari Guide"")","=HYPERLINK(""https://vimeo.com/betterworlded/james"",""I am James"")","=HYPERLINK(""https://drive.google.com/file/d/0B-03BDwcfBF1YmotYlJHNFRNRTQ/view?usp=sharing"",""I am Me"")",Humanity
2nd-4th,Addition & subtraction,Strategies for adding two and three digit numbers,"=HYPERLINK(""https://drive.google.com/file/d/0B-03BDwcfBF1b1FMWHRpNEpTbFk/view?usp=sharing"",""James as a Safari Guide"")","=HYPERLINK(""https://vimeo.com/betterworlded/james"",""I am James"")","=HYPERLINK(""https://drive.google.com/file/d/0B-03BDwcfBF1YmotYlJHNFRNRTQ/view?usp=sharing"",""I am Me"")",Humanity
2nd-4th,Addition & subtraction,Adding with regrouping within 1000,"=HYPERLINK(""https://drive.google.com/file/d/0B-03BDwcfBF1b1FMWHRpNEpTbFk/view?usp=sharing"",""James as a Safari Guide"")","=HYPERLINK(""https://vimeo.com/betterworlded/james"",""I am James"")","=HYPERLINK(""https://drive.google.com/file/d/0B-03BDwcfBF1YmotYlJHNFRNRTQ/view?usp=sharing"",""I am Me"")",Humanity
2nd-4th,Addition & Subtraction,Addition and subtraction missing value problems,"=HYPERLINK(""https://drive.google.com/open?id=0B1-BHXf-oGuKSzM3c2JXMTZMUE0"",""I am Johnfreeco"")","=HYPERLINK(""https://vimeo.com/199183701"",""I am Johnfreeco"")","=HYPERLINK(""https://drive.google.com/open?id=0B1-BHXf-oGuKandCN1huODdQTm8"",""My Country, My Growth"")",Humanity
,Algebra,Constructing and solving algebraic equations with 2 unknowns,"=HYPERLINK(""https://drive.google.com/open?id=0B9q-Bz2y-5byeGJSSUxMSzZlNUE"",""I Am Baby"")","=HYPERLINK(""https://vimeo.com/140413594"",""I Am Baby"")","=HYPERLINK(""https://drive.google.com/file/d/0B3wl5qjmTQ_uWVBUN3ZfMll4Wlk/view"",""Attitude of Gratitude"")",Humanity
